PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=127 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=127 time=35.6 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=127 time=28.8 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=127 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=127 time=30.6 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=127 time=40.8 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=127 time=57.1 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=127 time=69.9 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=127 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=127 time=35.1 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=127 time=42.5 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=127 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=127 time=41.1 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=127 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=127 time=47.2 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=127 time=42.5 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=127 time=39.4 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=127 time=51.2 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=127 time=25.0 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=127 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=127 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=127 time=72.9 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=127 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=127 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=127 time=43.8 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=127 time=34.7 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=127 time=31.9 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=127 time=29.3 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=127 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=127 time=67.0 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=127 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=127 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=127 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=127 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=127 time=48.1 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=127 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=127 time=109 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=127 time=51.7 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=127 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=127 time=51.2 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=127 time=55.0 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=127 time=43.8 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=127 time=46.9 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=127 time=65.3 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=127 time=84.1 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=127 time=81.5 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=127 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=127 time=18.5 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=127 time=35.5 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=127 time=27.2 ms

--- 8.8.8.8 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49081ms
rtt min/avg/max/mdev = 18.481/42.626/109.392/17.744 ms
